country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,0.034,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.705,,,,,0.453,,,,,,,0.251,,,,,0.101,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.163,0.146,0.187,0.194,0.194,0.105,0.107,0.101,0.109,0.105,0.118,0.104,0.103,0.122,0.113,0.086,0.066,0.05,0.038,0.039,0.05,0.045
Germany,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.002,0.002,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,,0.0,,0.0,0.0,,
Ghana,,,,,,,,,,,,,,,,,,,,,0.426,0.423,,,0.498,,,,,,,0.357,,,,,,,0.245,,,,,,,0.12,,,,0.133,,
Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,,,0.005,,,0.005,0.006,0.003,0.006,0.005,0.003,0.006,0.01,0.012,0.015,0.01,0.015,0.014,0.01,0.009,
Guatemala,,,,,,,,,,,,,,,,,,,,0.486,,,0.361,,,,,,,,,0.134,,0.092,,,,,,0.111,,,,,,,,0.087,,,,
Guinea,,,,,,,,,,,,,,,,,,,,,,,,,0.916,,,0.493,,,,,,,,0.622,,,,,0.597,,,,,0.353,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,0.64,,,,,,,,,0.539,,,,,,,,0.671,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,,,,,,,0.331,,,,,,0.137,,,,,,,,,,,,,,,,,,,,
Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,0.422,0.443,0.334,0.287,0.236,0.267,0.277,0.304,0.212,0.259,0.265,,0.213,0.234,0.281,0.272,0.265,0.225,0.172,0.165,0.138,0.15,0.171,0.196,0.173,0.159,0.162,0.18,0.172,0.165
Hungary,,,,,,,,,,,,,,,,,,,,,0.001,,0.001,,0.014,,0.002,0.009,,,,,0.002,,,,,0.001,0.007,0.001,0.001,0.0,0.001,0.001,0.001,0.003,0.001,0.006,0.006,0.013,0.006,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.002,0.0,0.001,0.0,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,,,
India,,,,,,,,,,,0.616,,,,,,0.548,,,,0.489,,,,,,0.459,,,,,,,,,,,0.382,,,,,0.311,,0.212,,,,,,,
Indonesia,,,,,,,,,,,,,,,,,,0.714,,,0.714,,,0.588,,,0.585,,,0.474,,0.667,0.417,0.393,0.355,0.228,0.226,0.239,0.211,0.274,0.224,0.218,0.182,0.157,0.133,0.116,0.094,0.079,0.072,0.065,0.057,0.046
Iran,,,,,,,,,,,,,,,,,,,,0.068,,,,0.056,,,,0.032,,,,0.026,,,,,,,0.004,0.004,,,0.01,,,,0.001,0.002,0.003,0.003,0.003,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.021,,,,,,0.025,,,,,,
Ireland,,,,,,,,,,,,,,,,,,,,,0.007,,,,,,,0.002,0.002,0.002,,,,0.002,,,0.001,0.0,0.0,0.004,0.001,0.002,0.004,0.005,0.005,0.002,0.007,0.004,0.003,0.001,,
Israel,,,,,,,,,,,,,0.0,,,,,,,0.002,,,,,,0.002,,,,,0.002,,,,0.002,,,,0.005,,0.005,,,0.002,,0.005,,0.005,,0.002,,
Italy,,,,,,,,,,,,,,,,,,,,0.002,0.012,,0.0,,0.002,,0.012,,0.007,,,0.017,,0.012,,,0.008,0.006,0.007,0.007,0.007,0.007,0.009,0.013,0.012,0.012,0.014,0.012,0.02,0.016,0.014,
Jamaica,,,,,,,,,,,,,,,,,,,,,,0.062,,0.046,,,0.099,,,0.034,,,0.026,,,0.028,,0.017,,,,,,,,,,,,,,
Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,,0.0,,,0.007,,,,,
Jordan,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.029,,,,,0.016,,,,,0.011,,,,0.003,,0.001,,0.001,,,,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.063,,,,,0.103,0.068,0.046,0.023,0.069,0.006,0.003,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,0.314,,0.315,,,0.319,,,,,,,,0.437,,,,,,,,,,0.368,,,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.129,,,,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.306,,0.421,0.364,0.341,0.281,0.136,0.153,0.099,0.099,0.04,0.021,0.041,0.018,0.029,0.033,0.013,0.025,0.014,0.015,0.009
Lao,,,,,,,,,,,,,,,,,,,,,,,,,,0.322,,,,,0.524,,,,,0.338,,,,,0.27,,,,,0.227,,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,0.016,,,,,,,,0.024,0.023,0.015,0.006,0.012,0.017,0.017,0.01,0.01,0.011,0.008,0.006,0.006,0.008,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,
Lesotho,,,,,,,,,,,,,,,,,,,,0.494,,,,,,,,0.502,,,,,,,,0.613,,,,,,,,,,,,,,,0.269,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.686,,,,,,,0.386,,0.409,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,0.028,0.018,0.015,0.013,0.014,0.022,0.015,0.007,0.01,0.007,0.013,0.007,0.014,0.01,
Luxembourg,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.003,0.001,0.003,
