country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Kingdom,,,0.047,,,,,0.007,,,,,0.01,,,,,,,0.02,,,,,0.012,,,0.01,0.02,,,,0.007,,,,,0.012,0.011,0.008,0.008,0.009,0.006,0.006,0.007,0.005,0.004,0.006,0.007,0.005,,
United States,,,,,,,,0.017,,,,,0.012,,,,,,,0.012,,,,,0.015,,,0.015,,,0.015,,,0.015,,,,0.017,,,0.017,,,0.02,,,0.02,,,0.02,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,0.086,0.094,0.092,0.091,,0.091,0.102,0.137,0.178,0.191,0.174,0.166,0.143,0.102,0.095,0.082,0.057,0.053,0.048,0.041,0.038,0.036,0.028,0.029
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.873,,0.965,,0.961,0.964,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724,,,,,,,,
Venezuela,,,,,,,,,,,,,,,0.337,,,,,,0.365,,0.289,,,0.285,,,0.451,,,0.447,0.476,,0.458,0.559,0.625,0.572,0.488,0.356,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.944,,,,,,0.9,,,,0.892,,0.847,,0.806,,0.784,,0.477,,0.415,,0.359,,0.29,,0.236
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617,,,,,,,0.766,,,,,,,,,0.816,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,0.842,,0.882,,,0.839,,0.845,,,,0.924,,0.885,,0.898,,,,0.905,,,,,0.872,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,,,,,0.813,
