country,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
United Kingdom,,,0.005,,,,,0.002,,,,,0.005,,,,,,,0.012,,,,,0.005,,,0.005,0.012,,,,0.005,,,,,0.006,0.007,0.004,0.005,0.005,0.003,0.003,0.005,0.002,0.002,0.003,0.003,0.003,,
United States,,,,,,,,0.01,,,,,0.007,,,,,,,0.007,,,,,0.007,,,0.01,,,0.01,,,0.01,,,,0.012,,,0.012,,,0.012,,,0.012,,,0.015,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,0.024,0.029,0.027,0.028,,0.021,0.024,0.031,0.043,0.056,0.046,0.035,0.029,0.017,0.017,0.013,0.009,0.01,0.008,0.007,0.006,0.005,0.004,0.004
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.655,,0.867,,0.859,0.864,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.394,,,,,,,,
Venezuela,,,,,,,,,,,,,,,0.171,,,,,,0.187,,0.134,,,0.113,,,0.229,,,0.247,0.253,,0.235,0.329,0.396,0.342,0.29,0.178,,,,,,,,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,0.712,,,,0.708,,0.6,,0.513,,0.467,,0.173,,0.134,,0.114,,0.084,,0.07
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279,,,,,,,0.388,,,,,,,,,0.522,,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,0.692,,0.739,,,0.647,,0.656,,,,0.763,,0.751,,0.777,,,,0.797,,,,,0.743,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.472,,,,,,0.61,
