Entity,Code,Year,Social expenditure on family (% of GDP) (OECD Stats (2019)),Social expenditure on health (% of GDP) (OECD Stats (2019)),Social expenditure on housing (% of GDP) (OECD Stats (2019)),Incapacity related social expenditures (% of GDP) (OECD Stats (2019)),Old age related social expenditures (% of GDP) (OECD Stats (2019)),Social expenditure on other social policy areas (% of GDP) (OECD Stats (2019)),Social expenditure on survivors (% of GDP) (OECD Stats (2019)),Social expenditure on unemployment (% of GDP) (OECD Stats (2019)),Social expenditure on active labor market policies (% of GDP) (OECD Stats (2019))
Canada,CAN,2005,1.0650001,6.25,0.41999999,0.90499997,4.151,2.5550001,0.396,0.60699999,0.31299999
Canada,CAN,2010,1.266,7.2670002,0.42699999,0.88,3.9170001,2.2750001,0.37799999,0.792,0.32699999
Canada,CAN,2015,1.552,7.2800002,0.30399999,0.75199997,4.3509998,2.187,0.347,0.61900002,0.235
Canada,CAN,2016,,7.3080001,,,,,,,0.245
Chile,CHL,1990,0.51599997,0,0,0.87400001,7.0840001,0,0.92900002,0.021,0.368
Chile,CHL,1995,0.41999999,2.473,0,0.88999999,5.8540001,0,0.852,0.015,0.46700001
Chile,CHL,2000,1.1390001,2.5179999,0.41800001,0.79900002,3.9519999,0.244,1.061,0.054000001,0.212
Chile,CHL,2005,0.83600003,2.592,0.542,0.70300001,2.8599999,0.234,0.852,0.083999999,0.21600001
Chile,CHL,2010,1.48,3.191,1.003,0.80800003,2.6889999,0.32600001,0.72100002,0.191,0.109
Chile,CHL,2015,1.701,3.9849999,0.79699999,0.73100001,2.349,0.38800001,0.57300001,0.37200001,0.163
Chile,CHL,2016,1.789,4.2319999,0.82800001,0.74400002,2.2539999,0.38999999,0.59799999,0.41,0.168
Chile,CHL,2017,1.771,4.1760001,0.787,0.75099999,2.2739999,0.39700001,0.574,0.389,0.14
Czechia,CZE,1990,2.273,3.6259999,,2.1689999,4.7940001,0.45100001,0.79799998,,
Czechia,CZE,1995,1.855,5.1469998,0.002,2.23,5.415,0.198,0.75700003,0.33899999,0.121
Czechia,CZE,2000,1.773,5.1350002,0.113,2.4219999,6.506,0.433,0.78100002,0.56699997,0.18000001
Czechia,CZE,2005,2.05,5.5409999,0.075000003,2.2179999,6.2680001,0.40599999,0.71899998,0.56699997,0.229
Czechia,CZE,2010,2.375,5.7729998,0.106,1.99,7.6139998,0.18799999,0.68900001,0.75,0.317
Czechia,CZE,2015,2.04,5.9660001,0.26800001,1.744,7.6789999,0.18700001,0.61400002,0.47799999,0.42699999
Denmark,DNK,1980,2.737,5.079,0.37200001,4.0929999,7.8410001,3.7019999,0.13600001,0,0.114
Denmark,DNK,1985,2.536,4.6040001,0.44800001,3.1670001,7.6370001,2.9389999,0.025,0,0.133
Denmark,DNK,1990,3.1930001,4.4330001,0.63300002,3.671,8.2880001,2.977,0.022,0,0.73199999
Denmark,DNK,1995,3.7750001,4.2690001,0.74699998,4.1139998,9.3369999,2.869,0.018999999,0.044,1.877
Denmark,DNK,2000,3.395,5.0570002,0.64600003,3.8069999,7.9860001,1.3200001,0.011,0,1.844
Denmark,DNK,2005,3.5,5.835,0.68800002,4.4289999,8.2340002,1.2869999,0.009,0,1.526
Denmark,DNK,2010,3.766,6.559,0.67299998,5,9.3970003,1.152,1.456,0,2.0220001
